GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
DETonomics,com.detonomics.budgettuner.backend.budgetingestion,JsonToSQLite.ExpenseCategory,3,0,0,0,1,0,1,0,1,0
DETonomics,com.detonomics.budgettuner.backend.budgetingestion,JsonToSQLite.Ministry,3,0,0,0,1,0,1,0,1,0
DETonomics,com.detonomics.budgettuner.backend.budgetingestion,JsonToSQLite.MinistryExpenseItem,3,0,0,0,1,0,1,0,1,0
DETonomics,com.detonomics.budgettuner.backend.budgetingestion,JsonToSQLite.RevenueCategory,3,0,0,0,1,0,1,0,1,0
DETonomics,com.detonomics.budgettuner.backend.budgetingestion,JsonToSQLite.BudgetFile,3,0,0,0,1,0,1,0,1,0
DETonomics,com.detonomics.budgettuner.backend.budgetingestion,JsonToSQLite,565,0,38,0,141,0,28,0,9,0
DETonomics,com.detonomics.budgettuner.backend.budgetingestion,JsonToSQLite.BudgetSummary,3,0,0,0,1,0,1,0,1,0
DETonomics,com.detonomics.budgettuner.backend.budgetingestion,PdfToText,76,0,2,0,18,0,5,0,4,0
DETonomics,com.detonomics.budgettuner.backend.budgetingestion,IngestBudgetPdf,144,0,6,0,40,0,8,0,5,0
DETonomics,com.detonomics.budgettuner.backend.budgetingestion,JsonToSQLite.Metadata,3,0,0,0,1,0,1,0,1,0
DETonomics,com.detonomics.budgettuner.backend.budgetingestion,TextToJson,88,0,6,0,23,0,5,0,2,0
DETonomics,com.detonomics.budgettuner.backend.mainapplicationfeatures,BudgetManager,607,265,41,19,128,69,33,16,9,10
DETonomics,com.detonomics.budgettuner.backend.mainapplicationfeatures,App,182,144,23,9,62,36,19,2,1,1
DETonomics,com.detonomics.budgettuner.backend.mainapplicationfeatures,BudgetFormatter,382,81,21,3,52,14,15,3,4,2
DETonomics,com.detonomics.budgettuner.backend.mainapplicationfeatures,DatabaseManager,12,75,0,4,4,23,0,5,0,3
DETonomics,com.detonomics.budgettuner.backend.mainapplicationfeatures,Ministry,0,61,0,0,0,21,0,11,0,11
DETonomics,com.detonomics.budgettuner.backend.mainapplicationfeatures,BudgetYear,0,33,0,0,0,12,0,6,0,6
DETonomics,com.detonomics.budgettuner.backend.mainapplicationfeatures,Summary,0,86,0,0,0,25,0,11,0,11
DETonomics,com.detonomics.budgettuner.backend.mainapplicationfeatures,SqlSequence,0,33,0,0,0,12,0,6,0,6
DETonomics,com.detonomics.budgettuner.backend.mainapplicationfeatures,RevenueCategory,0,47,0,0,0,15,0,8,0,8
DETonomics,com.detonomics.budgettuner.backend.mainapplicationfeatures,MinistryExpense,0,41,0,0,0,13,0,7,0,7
DETonomics,com.detonomics.budgettuner.backend.mainapplicationfeatures,ExpenseCategory,0,41,0,0,0,13,0,7,0,7
